district,total,%,No qualifications,%,Highest level of qualification: Level 1 qualifications,%,Highest level of qualification: Level 2 qualifications,%,Highest level of qualification: Apprenticeship,%,Highest level of qualification: Level 3 qualifications,%,Highest level of qualification: Level 4 qualifications and above,%,Highest level of qualification: Other qualifications,%,Schoolchildren and full-time students: Age 16 to 17,%,Schoolchildren and full-time students: Age 18 and over,%,Full-time students: Age 18 to 74: Economically active: In employment,%,Full-time students: Age 18 to 74: Economically active: Unemployed,%,Full-time students: Age 18 to 74: Economically inactive,%
Rochdale,166916,100,47906,28.7,24521,14.7,27351,16.4,6122,3.7,19597,11.7,32371,19.4,9048,5.4,5266,3.2,6594,4,2213,1.3,728,0.4,3627,2.2
Salford,188780,100,51175,27.1,26189,13.9,29161,15.4,6337,3.4,23870,12.6,42103,22.3,9945,5.3,4792,2.5,13014,6.9,5070,2.7,1616,0.9,6295,3.3
Stockport,229822,100,47430,20.6,30962,13.5,36785,16,9276,4,27896,12.1,68506,29.8,8967,3.9,6321,2.8,7642,3.3,3162,1.4,543,0.2,3901,1.7
Tameside,176616,100,49547,28.1,28347,16.1,30600,17.3,7886,4.5,21371,12.1,30994,17.5,7871,4.5,4962,2.8,5650,3.2,2168,1.2,545,0.3,2910,1.6
Trafford,180754,100,33573,18.6,22490,12.4,28590,15.8,6165,3.4,21078,11.7,61051,33.8,7807,4.3,5342,3,6617,3.7,2885,1.6,537,0.3,3174,1.8
Wigan,257825,100,70486,27.3,39403,15.3,44174,17.1,12135,4.7,31368,12.2,50374,19.5,9885,3.8,6751,2.6,7487,2.9,3480,1.3,675,0.3,3293,1.3
Burnley,69915,100,20512,29.3,10075,14.4,11046,15.8,3251,4.6,8606,12.3,13092,18.7,3333,4.8,1884,2.7,2392,3.4,905,1.3,219,0.3,1261,1.8
Chorley,87532,100,18594,21.2,11760,13.4,14210,16.2,4225,4.8,11052,12.6,24361,27.8,3330,3.8,2204,2.5,2318,2.6,1119,1.3,133,0.2,1056,1.2
Fylde,63757,100,13497,21.2,7638,12,10560,16.6,2678,4.2,7826,12.3,18982,29.8,2576,4,1573,2.5,1630,2.6,823,1.3,118,0.2,679,1.1
Hyndburn,64092,100,17942,28,8868,13.8,10400,16.2,3547,5.5,8043,12.5,12132,18.9,3160,4.9,1880,2.9,2304,3.6,1016,1.6,250,0.4,1030,1.6
Lancaster,115405,100,23804,20.6,13178,11.4,17539,15.2,4231,3.7,20214,17.5,31396,27.2,5043,4.4,2820,2.4,13603,11.8,3738,3.2,840,0.7,9015,7.8
Pendle,71128,100,20031,28.2,9477,13.3,10758,15.1,3404,4.8,8914,12.5,14392,20.2,4152,5.8,1889,2.7,2479,3.5,994,1.4,240,0.3,1236,1.7
